"title","year","length","budget","rating","votes","mpaa","genre","n_genres"
"Smoke Signals",1998,88,2000000,7.2,2665,"PG-13","Comedy",2
"Snatch.",2000,102,10000000,7.9,44785,"R","Comedy",1
"Snitch",1998,90,11000000,6.2,412,"R","Action",2
"Snow Falling on Cedars",1999,127,36000000,6.7,4536,"PG-13","Drama",1
"Sol Goode",2001,99,3000000,5.4,291,"R","Comedy",1
"Solar Crisis",1990,112,55000000,3.9,377,,"Other",0
"Solaris",2002,99,47000000,6.3,11808,"PG-13","Romance",2
"Soldier",1998,98,75000000,5.2,5590,"R","Action",1
"Someone Like You...",2001,97,23000000,5.7,4249,"PG-13","Romance",2
"Something Wicked This Way Comes",1983,95,19000000,6.5,1302,,"Other",0
"Somewhere in Time",1980,103,5100000,6.8,3837,,"Romance",2
"Song jia huang chao",1997,145,50000000,6.9,151,,"Romance",2
"Songcatcher",2000,109,1800000,7.2,927,"PG-13","Drama",1
"Sorcerer",1977,93,22000000,7.1,719,,"Other",0
"Sorority Babes in the Slimeball Bowl-O-Rama",1988,80,90000,4,338,,"Comedy",1
"Sorority Boys",2002,93,12000000,5.1,2398,"R","Comedy",1
"Soul Assassin",2001,96,7000000,4,376,"R","Action",1
"Soul Plane",2004,92,16000000,3.2,2361,"R","Comedy",1
"Soul Survivors",2001,84,14000000,3.6,2305,"R","Other",0
"Space Cowboys",2000,130,65000000,6.4,11887,,"Drama",1
"Space Jam",1996,87,80000000,5.2,7995,"PG","Animation",2
"Spaceballs",1987,96,22700000,6.7,20054,,"Comedy",1
"Spaced Invaders",1990,100,3000000,4.5,612,,"Comedy",1
"Spanglish",2004,130,80000000,6.7,4698,"PG-13","Romance",3
"Spanish Judges",1999,98,3500000,4.8,178,"R","Drama",1
"Spawn",1997,98,40000000,4.6,7523,"PG-13","Action",1
"Specialist, The",1994,110,45000000,4.7,6602,,"Action",2
"Speed",1994,116,28000000,7.1,32979,"R","Action",1
"Speed 2: Cruise Control",1997,121,110000000,3.3,13268,"PG-13","Action",2
"Sphere",1998,134,80000000,5.3,12990,"PG-13","Other",0
"Spice World",1997,93,25000000,3,7710,"PG","Comedy",1
"Spider",2002,94,8000000,6.8,5193,"R","Drama",1
"Spider-Man 2",2004,127,200000000,7.9,40256,"PG-13","Action",1
"Spirit: Stallion of the Cimarron",2002,86,80000000,6.4,2738,,"Animation",1
"Spitfire Grill, The",1996,117,6000000,6.7,2245,,"Drama",1
"Splash",1984,111,8000000,6.3,9428,,"Romance",2
"Split Second",1992,90,7000000,5.3,1120,,"Action",1
"Spun",2002,106,2800000,6.2,3924,"R","Comedy",2
"Spy Game",2001,126,92000000,7,16736,"R","Action",2
"Spy Hard",1996,81,18000000,4.5,4686,"PG-13","Action",2
"Spy Kids",2001,88,35000000,6.2,7400,,"Action",2
"Spy Kids 2: Island of Lost Dreams",2002,99,39000000,5.8,3175,"PG","Action",2
"Spy Kids 3-D: Game Over",2003,84,39000000,4.7,2597,"PG","Action",2
"Spy Who Loved Me, The",1977,123,14000000,6.9,8130,,"Action",1
"Stag",1997,91,3000000,5.5,305,,"Action",2
"Stand by Me",1986,89,8000000,8,30805,,"Drama",1
"Star Kid",1997,101,12000000,5,269,"PG","Other",0
"Star Trek III: The Search for Spock",1984,105,17000000,6.2,9808,,"Action",1
"Star Trek IV: The Voyage Home",1986,136,25000000,7.1,11647,,"Comedy",1
"Star Trek V: The Final Frontier",1989,107,27800000,4.8,9215,,"Action",1
"Star Trek: First Contact",1996,106,45000000,7.3,25046,"PG-13","Action",1
"Star Trek: Generations",1994,118,35000000,6.2,12651,,"Action",2
"Star Trek: The Motion Picture",1979,143,35000000,5.8,10752,"PG","Other",0
"Star Wars",1977,125,11000000,8.8,134640,"PG","Action",1
"Star Wars: Episode II - Attack of the Clones",2002,120,120000000,7,63889,"PG","Action",1
"Star Wars: Episode V - The Empire Strikes Back",1980,129,18000000,8.8,103706,"PG","Action",1
"Star Wars: Episode VI - Return of the Jedi",1983,135,32500000,8.1,82471,"PG","Action",1
"Stardust Memories",1980,91,10000000,6.8,2148,,"Comedy",2
"Stargate",1994,130,55000000,6.4,17520,,"Action",1
"Starship Troopers",1997,129,95000000,6.7,32618,"R","Action",1
"Starsky & Hutch",2004,101,60000000,6.3,13529,"PG-13","Action",2
"Statement, The",2003,120,23000000,6.1,710,"R","Drama",1
"Stateside",2004,97,16000000,5.4,247,"R","Drama",1
"Steamboy",2004,126,20000000,6.6,529,"PG-13","Animation",3
"Steel",1997,97,16000000,2.6,1607,"PG-13","Action",1
"Stepmom",1998,124,50000000,6.1,7470,"PG-13","Comedy",2
"Sticky Fingers of Time, The",1997,90,250000,5.5,129,,"Other",0
"Sting, The",1973,129,5500000,8.4,23678,,"Comedy",2
"Stir of Echoes",1999,99,13000000,7,11433,"R","Other",0
"Stolen Summer",2002,91,1500000,6.2,801,"PG","Drama",1
"Straight Out of Brooklyn",1991,79,450000,5.4,107,,"Drama",1
"Straight Story, The",1999,112,10000000,8.1,14679,,"Drama",1
"Straight to Hell",1987,86,1000000,4.9,464,,"Comedy",1
"Strange Days",1995,145,42000000,6.9,11869,"R","Action",2
"Strangeland",1998,92,2000000,4.4,1179,"R","Other",0
"Stranger Than Paradise",1983,89,90000,7.4,2873,,"Comedy",2
"Straw Dogs",1971,113,3251794,7.4,4755,,"Drama",1
"Street Pirates",1994,94,650000,8.2,111,,"Documentary",1
"Streets of Fire",1984,93,14500000,6.2,1860,,"Action",2
"Stripes",1981,106,10000000,6.8,7406,"R","Comedy",1
"Striptease",1996,117,50000000,3.8,7998,"R","Comedy",2
"Stryker's War",1985,84,100000,5.1,146,,"Action",1
"Stuart Little",1999,81,103000000,6,8009,"PG","Comedy",1
"Stupids, The",1996,94,25000000,3.7,1503,,"Comedy",1
"Sub Down",1997,93,17000000,4.4,322,,"Drama",1
"Suburbia",1984,94,1000000,6.8,481,,"Other",0
"Sugar Town",1999,92,250000,5.8,307,"R","Comedy",1
"Suicide Kings",1997,106,5000000,7,6117,"R","Comedy",2
"Sum of All Fears, The",2002,123,68000000,6.6,15835,"PG-13","Action",2
"Summer Catch",2001,105,17000000,4.5,2581,"PG-13","Romance",2
"Sunday",1997,94,450000,7.1,249,,"Romance",2
"Sunshine State",2002,141,5600000,7,1481,"PG-13","Drama",1
"Superman",1978,151,55000000,7.1,17327,"PG","Action",1
"Superman II",1980,127,54000000,6.5,10085,,"Action",1
"Superstar",1999,81,14000000,4.5,2880,"PG-13","Comedy",1
"Supervixens",1975,99,250000,5.8,518,,"Action",3
"Surviving Picasso",1996,125,16000000,6.1,1139,"R","Romance",2
"Suspect Zero",2004,99,27000000,5.7,1310,"R","Drama",1
"Sweepers",1999,93,12500000,3.9,276,"R","Action",1
"Sweet Angel Mine",1996,88,5000000,5.3,119,,"Other",0
"Sweet Home Alabama",2002,108,38000000,5.8,9943,"PG-13","Romance",3
"Sweet November",2001,115,40000000,5.5,5458,"PG-13","Romance",3
"Sweet Sweetback's Baad Asssss Song",1971,97,150000,5.3,547,,"Drama",1
"Sweetest Thing, The",2002,90,43000000,4.7,8284,"R","Romance",2
"Swept Away",2002,89,10000000,3.8,2113,"R","Romance",2
"Swimfan",2002,85,8500000,4.5,3863,"PG-13","Drama",1
"Swimming with Sharks",1994,101,700000,7.1,4837,"R","Comedy",2
"Swingers",1996,96,200000,7.6,15827,"R","Comedy",2
"Swiri",1999,125,5000000,6.6,1704,"R","Action",2
"Switchblade Sisters",1975,91,320000,5.7,402,,"Action",2
"Swoon",1992,80,250000,7,290,,"Drama",1
"Swordfish",2001,99,80000000,6.2,20455,"R","Action",1
"Tadpole",2002,78,150000,6.3,1769,"PG-13","Romance",3
"Taegukgi hwinalrimyeo",2004,140,12800000,8.5,1792,"R","Action",2
"Tale of the Mummy",1998,119,8000000,3.7,570,"R","Other",0
"Talented Mr. Ripley, The",1999,139,40000000,7,25974,"R","Drama",1
"Tales from the Hood",1995,98,6000000,5.1,548,"R","Action",1
"Talk Radio",1988,110,4000000,6.9,2080,,"Drama",1
"Tall Tale",1995,98,32000000,4.8,383,,"Other",0
"Tango & Cash",1989,104,55000000,5.4,7657,,"Action",2
"Taxi Driver",1976,110,1300000,8.5,47873,,"Drama",1
"Taxman, The",1999,104,1000000,5.7,169,"R","Action",2
"Tea with Mussolini",1999,117,12000000,6.7,2711,"PG","Comedy",2
"Teacher's Pet",2004,74,10000000,5.6,218,"PG","Animation",2
"Ted Bundy",2002,99,1200000,5.2,852,"R","Drama",1
"Teenage Mutant Ninja Turtles",1990,93,13500000,5.5,6946,,"Action",1
"Telling Lies in America",1997,101,4000000,6.4,646,,"Drama",1
"Temp, The",1993,99,15000000,4.9,668,,"Drama",1
"Tentacoli",1977,102,750000,2.8,237,,"Other",0
"Terminal, The",2004,128,60000000,7.1,15809,"PG-13","Romance",3
"Terminator 3: Rise of the Machines",2003,109,175000000,6.9,32111,"R","Action",1
"Terminator, The",1984,108,6400000,7.9,59772,,"Action",3
"Terror Train",1980,97,3500000,5.2,567,,"Other",0
"Texas Chainsaw Massacre 2, The",1986,111,4700000,4.6,2107,,"Other",0
"Texas Chainsaw Massacre, The",2003,98,9200000,5.9,9587,"R","Action",1
"Thank God He Met Lizzie",1997,91,2500000,5.9,196,,"Romance",2
"Thelma & Louise",1991,129,16500000,7.3,18075,,"Action",2
"Theodore Rex",1995,92,33000000,2.2,567,"PG","Comedy",1
"There's Something About Mary",1998,134,23000000,7.2,46343,"R","Romance",2
"Thieves Like Us",1974,123,800000,7,310,,"Drama",1
"Thin Line Between Love and Hate, A",1996,108,8000000,4.4,458,"R","Romance",2
"Thin Red Line, The",1998,170,52000000,7.2,25637,"R","Action",2
"Thing Called Love, The",1993,116,14000000,6,1217,,"Romance",3
"Thirteen Days",2000,145,80000000,7.4,10926,"PG-13","Drama",1
"Thirteenth Floor, The",1999,100,16000000,6.4,7712,"R","Other",0
"Thomas Crown Affair, The",1999,113,48000000,6.7,17220,"R","Romance",2
"Thomas and the Magic Railroad",2000,85,19000000,4.2,364,,"Other",0
"Three Kings",1999,114,48000000,7.3,31503,"R","Action",3
"Three to Tango",1999,98,20000000,6,5719,"PG-13","Romance",2
"Thunderbirds",2004,95,57000000,4.4,1419,"PG","Action",2
"Thunderpants",2002,87,7000000,4.2,353,,"Comedy",1
"Time Bandits",1981,110,5000000,6.9,9434,,"Comedy",1
"Time Changer",2002,95,825000,4.5,304,"PG","Drama",1
"Time Machine, The",2002,96,80000000,5.5,12424,"PG-13","Action",1
"Time Walker",1982,83,750000,2.4,170,,"Other",0
"Time to Kill, A",1996,149,40000000,6.9,15577,"R","Drama",1
"Timeline",2003,116,80000000,5.2,5803,"PG-13","Other",0
"Tin Cup",1996,135,45000000,6.2,7521,"R","Romance",3
"Tin Men",1987,110,11000000,6.4,2065,,"Comedy",2
"Titan A.E.",2000,94,75000000,6.4,9373,"PG","Animation",2
"Titanic",1997,194,200000000,6.9,90195,"PG-13","Romance",2
"To Die For",1995,110,20000000,6.7,7737,,"Comedy",2
"Tom Horn",1980,98,3000000,6.4,404,,"Other",0
"Tomcats",2001,95,11000000,4.7,3717,"R","Comedy",1
"Tommy",1975,111,5000000,6.1,2916,,"Drama",1
"Tomorrow Never Dies",1997,119,110000000,6.4,19397,"PG-13","Action",1
"Toolbox Murders, The",1978,93,185000,4.3,259,,"Other",0
"Top Dog",1995,86,6000000,3.3,348,,"Action",2
"Torque",2004,81,40000000,3.2,4050,"PG-13","Action",1
"Total Recall",1990,113,65000000,7.2,26486,,"Action",1
"Touch, The",2002,103,20000000,4.5,417,"PG-13","Action",2
"Tough Guys Don't Dance",1987,110,5000000,4.8,233,,"Action",2
"Towering Inferno, The",1974,165,14000000,6.4,5386,,"Action",2
"Town & Country",2001,104,90000000,4.5,1434,"R","Comedy",1
"Toxic Avenger, Part II, The",1989,96,2300000,4.2,574,,"Action",2
"Toy Story",1995,81,30000000,7.9,46019,,"Animation",2
"Toy Story 2",1999,92,90000000,8.1,40941,,"Animation",2
"Track 29",1988,90,5000000,5.5,417,,"Drama",1
"Traffic",2000,147,48000000,7.8,41268,"R","Drama",1
"Training Day",2001,120,45000000,7.3,22776,"R","Drama",1
"Trainspotting",1996,94,3500000,8,51887,"R","Drama",1
"Trancers",1985,76,400000,6.1,509,,"Action",1
"Trapped",2002,106,30000000,6,3718,"R","Other",0
"Trash",1970,110,25000,6.7,316,,"Drama",1
"Trauma",1993,106,7000000,5.5,652,,"Other",0
"Treasure Planet",2002,95,140000000,6.6,3724,"PG","Animation",2
"Trekkies",1997,86,375000,6.9,1526,"PG","Documentary",1
"Tremors",1990,96,10000000,6.9,9657,,"Comedy",1
"Trial of Billy Jack, The",1974,170,7800000,4,258,,"Action",2
"Trigger Effect, The",1996,94,8000000,5.4,1591,"R","Action",2
"Triggermen",2002,96,12000000,5.8,317,"R","Comedy",1
"Triplettes de Belleville, Les",2003,78,8000000,7.7,6618,"PG-13","Animation",2
"Trois",2000,93,200000,3.1,176,"R","Other",0
"Tromeo and Juliet",1996,108,350000,5.8,1030,"R","Comedy",2
"Tron",1982,96,17000000,6.4,9084,,"Action",1
"True Romance",1993,121,12500000,7.7,25896,,"Action",3
"Tuck Everlasting",2002,96,15000000,6.5,2055,"PG","Romance",2
"Tui shou",1992,105,400000,7.1,317,,"Comedy",2
"Tumbleweeds",1999,102,312000,6.9,1146,"PG-13","Comedy",2
"Tunnel Vision",1976,95,250000,4.8,166,,"Comedy",1
"Tunnel, Der",2001,188,7100000,8.2,446,,"Drama",1
"Turetskii gambit",2005,130,4000000,6.9,247,,"Action",1
"Turn It Up",2000,86,9000000,4.3,129,,"Action",2
"Tuxedo, The",2002,98,60000000,5.1,6070,"PG-13","Action",2
"Twelve Monkeys",1995,129,29000000,7.9,62301,"R","Drama",1
"Twilight's Last Gleaming",1977,146,6200000,6.6,313,,"Other",0
"Twin Falls Idaho",1999,111,500000,7.1,1547,"R","Drama",1
"Twin Peaks: Fire Walk with Me",1992,135,10000000,6.5,6927,"R","Drama",1
"Twin Town",1997,99,3300000,6.1,1172,,"Comedy",2
"Twins",1988,105,15000000,5.9,13213,,"Comedy",1
"Twist",2003,97,350000,6,197,"R","Drama",1
"Twister",1996,113,92000000,5.9,28315,"PG-13","Action",2
"Two Can Play That Game",2001,93,6000000,5.8,843,"R","Romance",2
"Two Weeks Notice",2002,101,60000000,5.8,15010,"PG-13","Romance",2
"Two-Lane Blacktop",1971,105,850000,6.7,773,,"Drama",1
"U Turn",1997,125,19000000,6.5,10306,"R","Drama",1
"U.S. Marshals",1998,131,60000000,6.1,10315,"PG-13","Action",2
"Uccello dalle piume di cristallo, L'",1970,96,500000,6.8,883,,"Other",0
"Ulee's Gold",1997,113,2700000,7.1,2368,,"Drama",1
"Ultimo tango a Parigi",1972,250,1250000,6.9,4007,"NC-17","Romance",2
"Ulzana's Raid",1972,105,1200000,7,422,,"Other",0
"Uncle Sam",1997,89,2000000,3.3,488,"R","Other",0
"Under Siege",1992,98,12000000,6.1,9413,,"Action",2
"Under Siege 2: Dark Territory",1995,99,60000000,4.9,5551,"R","Action",2
"Under Suspicion",2000,111,25000000,6.4,3718,"R","Drama",1
"Under the Rainbow",1981,97,20000000,4.8,535,,"Comedy",1
"Under the Skin",1997,82,1000000,6.5,367,,"Drama",1
"Unendliche Geschichte, Die",1984,94,27000000,7.2,6742,,"Other",0
"Unforgettable",1996,117,18000000,5.7,940,"R","Other",0
"Unmade Beds",1997,95,1000000,6.7,148,"R","Documentary",1
"Unsaid, The",2001,108,22000000,6.5,1084,"R","Other",0
"Untold, The",2002,92,3000000,3.8,400,"R","Action",1
"Untouchables, The",1987,119,25000000,7.9,31587,,"Drama",1
"Up 'n' Under",1998,99,1000000,5.2,262,,"Comedy",1
"Upside of Anger, The",2005,118,13200000,7.2,1160,"R","Romance",3
"Uptown Saturday Night",1974,104,3000000,5.9,278,,"Comedy",1
"Urban Legends: Final Cut",2000,97,15000000,3.8,3280,"R","Other",0
"Usual Suspects, The",1995,106,6000000,8.7,103854,"R","Other",0
"Utomlyonnye solntsem",1994,132,2800000,7.6,2173,"R","Drama",1
"V leru",1999,92,250000,7,114,,"Comedy",2
"Valentine",2001,96,10000000,4.2,4779,"R","Other",0
"Valley Girl",1983,99,350000,5.9,2039,,"Romance",2
"Vampire in Brooklyn",1995,100,14000000,4.4,2716,"R","Romance",2
"Vampires",1998,106,20000000,5.6,7908,"R","Action",1
"Van Helsing",2004,132,160000000,5.4,19787,"PG-13","Action",1
"Vanilla Sky",2001,136,68000000,6.9,31250,"R","Romance",2
"Varsity Blues",1999,100,16000000,6,7974,"R","Drama",1
"Veer-Zaara",2004,192,7000000,7.2,446,,"Romance",2
"Velocity of Gary, The",1998,100,4000000,4.7,570,"R","Romance",2
"Veronica Guerin",2003,92,17000000,6.8,2688,"R","Drama",1
"Vertical Limit",2000,124,75000000,5.6,10273,"PG-13","Action",1
"Very Bad Things",1998,100,10000000,5.8,10001,"R","Comedy",1
"Very Brady Sequel, A",1996,90,15000000,5.3,2183,"PG-13","Comedy",1
"Village of the Damned",1995,99,7000000,5.1,2585,"R","Other",0
"Village, The",2004,108,60000000,6.6,25729,"PG-13","Drama",1
"Violon rouge, Le",1998,140,10000000,7.8,6995,"R","Romance",2
"Virgin Suicides, The",1999,90,6000000,7.2,17524,"R","Drama",1
"Vizontele",2001,110,2500000,7.8,644,,"Comedy",2
"Vizontele Tuuba",2004,111,3000000,5.6,239,,"Comedy",2
"Voditel dlya Very",2004,105,3300000,7.7,182,,"Drama",1
"Volcano",1997,104,90000000,5.2,8627,"PG-13","Action",2
"Vor",1997,110,2000000,7.2,841,"R","Drama",1
"Wag the Dog",1997,97,15000000,7,16434,"R","Comedy",1
"Waiting for Guffman",1996,84,4000000,7.6,7337,"R","Comedy",1
"Waiting to Exhale",1995,127,15000000,5.1,1611,"R","Comedy",2
"Walk in the Clouds, A",1995,102,20000000,6.2,4085,"PG-13","Romance",2
"Walk on the Moon, A",1999,105,14000000,6.6,1815,"R","Romance",2
"Walk to Remember, A",2002,101,11000000,6.8,7124,"PG","Romance",2
"Walker",1987,95,5800000,5.2,296,,"Action",1
"Walking Across Egypt",1999,100,4500000,6.9,247,"PG-13","Drama",1
"Walking Tall",1973,125,500000,6.3,612,,"Action",2
"Walking Tall",2004,87,56000000,5.9,4839,"PG-13","Action",2
"Walking and Talking",1996,86,1000000,6.6,888,"R","Romance",3
"Wall Street",1987,125,15000000,7.2,11269,,"Drama",1
"WarGames",1983,114,12000000,6.9,11474,,"Drama",1
"Warlock",1989,90,7000000,5.7,1839,,"Action",1
"Warriors of Virtue",1997,101,35000000,3.6,389,"PG","Action",1
"Wash, The",2001,93,4000000,3.7,902,,"Comedy",1
"Waterboy, The",1998,90,23000000,5.5,15539,"PG-13","Comedy",1
"Waterworld",1995,176,175000000,5.4,19325,"PG-13","Action",2
"Way of the Gun, The",2000,120,9000000,6.5,7750,"R","Other",0
"We're No Angels",1989,106,20000000,5.4,2694,,"Comedy",1
"Wedding Date, The",2005,90,15000000,5,953,"PG-13","Romance",2
"Weight of Water, The",2000,113,16000000,6,1742,"R","Other",0
"Welcome to Collinwood",2002,86,12000000,6.1,2831,"R","Comedy",1
"Welcome to Mooseport",2004,117,26000000,5.3,2356,"PG-13","Comedy",1
"Welcome to Sarajevo",1997,103,9000000,6.8,1465,"R","Drama",1
"Welcome to the Dollhouse",1995,88,800000,7.4,5851,"R","Comedy",2
"Werewolf",1996,99,350000,2,1032,"R","Other",0
"West Beyrouth",1998,105,800000,7.3,462,,"Drama",1
"What Dreams May Come",1998,113,85000000,6.3,11706,"PG-13","Romance",2
"What Planet Are You From?",2000,104,50000000,5.6,2574,"R","Comedy",1
"What Women Want",2000,127,65000000,6.4,20138,"PG-13","Romance",2
"What a Girl Wants",2003,105,20000000,5.7,3533,"PG","Romance",3
"What's Eating Gilbert Grape",1993,118,11000000,7.6,16345,,"Comedy",2
"Whatever It Takes",2000,94,15000000,5.2,1771,"PG-13","Romance",3
"When Harry Met Sally...",1989,96,16000000,7.7,24492,,"Romance",2
"When Time Ran Out...",1980,143,20000000,3.5,366,,"Other",0
"When a Stranger Calls",1979,97,740000,6.1,620,,"Other",0
"Where the Heart Is",2000,120,15000000,6.4,5042,"PG-13","Romance",3
"Where the Money Is",2000,89,18000000,6.2,1461,"PG-13","Comedy",2
"Where's Marlowe?",1998,97,3500000,6.2,188,"R","Comedy",1
"Which Way Is Up?",1977,94,3200000,5.7,135,,"Comedy",1
"While You Were Sleeping",1995,103,17000000,6.5,13035,"PG","Romance",2
"Whipped",2000,82,3000000,4.4,1562,"R","Romance",2
"White Mischief",1987,107,5300000,6,568,,"Romance",2
"White Oleander",2002,109,16000000,6.9,4545,"PG-13","Drama",1
"White Squall",1996,129,38000000,6.4,3445,"PG-13","Drama",1
"Who Framed Roger Rabbit",1988,99,70000000,7.4,21433,,"Animation",2
"Whole Nine Yards, The",2000,98,24000000,6.6,17678,,"Comedy",1
"Whole Ten Yards, The",2004,98,40000000,4.8,4133,"PG-13","Comedy",1
"Wicker Park",2004,114,30000000,6.4,3143,"PG-13","Romance",2
"Wild Things",1998,115,20000000,6.6,17672,"R","Other",0
"Wild Wild West",1999,107,170000000,4,19078,"PG-13","Action",2
"Wild at Heart",1990,124,9500000,7,9549,,"Romance",3
"Wilde",1997,118,10000000,6.9,2545,"R","Drama",1
"Willard",2003,100,22000000,6.2,2913,"PG-13","Comedy",2
"Willy Wonka & the Chocolate Factory",1971,100,3000000,7.6,16487,,"Comedy",1
"Wimbledon",2004,98,31000000,6.3,4297,"PG-13","Romance",3
"Win a Date with Tad Hamilton!",2004,95,24000000,5.8,2933,"PG-13","Romance",2
"Wing Commander",1999,96,30000000,3.7,4854,"PG-13","Action",1
"Wisegirls",2002,96,11000000,5.7,792,"R","Drama",1
"Wishcraft",2002,97,5000000,5,314,"R","Other",0
"Witchboard",1986,98,2000000,5,543,,"Other",0
"Witchboard III: The Possession",1995,93,2000000,3.4,114,"R","Other",0
"Without a Paddle",2004,95,19000000,5.4,3605,"PG-13","Comedy",1
"Witness",1985,112,12000000,7.6,14479,,"Romance",2
"Wizards",1977,80,1200000,6.2,1059,,"Animation",1
"Wo hu cang long",2000,120,15000000,8.2,52198,"PG-13","Action",2
"Wolf",1994,125,70000000,5.9,7192,,"Romance",2
"Wonder Boys",2000,111,35000000,7.6,15668,"R","Comedy",2
"Wong Fei-hung chi saiwik hung si",1997,102,12000000,6.2,433,,"Action",1
"Woo",1998,84,13000000,3.5,407,"R","Romance",2
"Woodstock",1970,216,600000,7.6,2540,,"Documentary",1
"World Is Not Enough, The",1999,128,135000000,6.3,24205,"PG-13","Action",1
"World Traveler",2001,103,2000000,5.4,350,"R","Drama",1
"Wyatt Earp",1994,212,63000000,6.1,5248,,"Other",0
"X-Men",2000,104,75000000,7.3,45332,"PG-13","Action",1
"X2",2003,133,110000000,7.9,38191,"PG-13","Action",1
"Xanadu",1980,93,20000000,4.4,2201,,"Romance",1
"Yards, The",2000,115,20000000,6.3,3386,"R","Drama",1
"Yes, Giorgio",1982,110,19000000,3.3,113,,"Comedy",1
"You Better Watch Out",1980,95,750000,3.4,215,,"Other",0
"You Got Served",2004,95,8000000,1.9,6041,"PG-13","Drama",1
"You've Got Mail",1998,119,65000000,6.2,20053,"PG","Romance",2
"Young Americans, The",1993,104,3000000,5.6,524,,"Drama",1
"Young Frankenstein",1974,106,2800000,8,22281,,"Comedy",1
"Young Guns",1988,102,13000000,6.4,8104,,"Action",2
"Young Sherlock Holmes",1985,109,18000000,6.4,3001,,"Other",0
"Your Friends & Neighbors",1998,100,5000000,6.4,2659,"R","Comedy",2
"Yume",1990,119,12000000,7.5,2735,,"Drama",1
"Zabriskie Point",1970,95,7000000,6.4,1377,,"Drama",1
"Zardoz",1974,105,1000000,5.4,2862,,"Other",0
"Zero Effect",1998,116,5000000,7,4820,"R","Comedy",1
"Zivot je cudo",2004,155,8000000,7.8,844,,"Romance",3
"Zookeeper, The",2001,108,6000000,7.7,633,,"Drama",1
"Zvezda",2002,97,1300000,7.5,168,,"Action",2
"xXx",2002,132,85000000,5.5,18514,"PG-13","Action",1
